,label,x,y
0,grønland,30.461849212646484,43.06597900390625
1,offentlig,26.46299171447754,45.77872085571289
2,kommune,28.131847381591797,45.26102066040039
3,økonomisk,26.21048927307129,45.49631881713867
4,udvikling,27.443763732910156,44.877906799316406
5,krone,29.744342803955078,46.740047454833984
6,sikre,28.22455406188965,43.72278594970703
7,åre,27.352094650268555,46.0386962890625
8,selvstyre,28.01108169555664,45.77633285522461
9,naalakkersuisutte,30.007186889648438,42.597145080566406
10,forvente,30.113523483276367,43.31466293334961
11,mio,18.429567337036133,48.30280685424805
12,samle,29.75430679321289,45.34147644042969
13,arbejde,29.38217544555664,42.83882141113281
14,øge,27.457799911499023,44.94532775878906
15,behov,29.20865821838379,43.28219985961914
16,forholde,28.571434020996094,44.48066329956055
17,stor,29.7465877532959,43.13241195678711
18,del,24.774770736694336,47.63554763793945
19,ny,29.523996353149414,43.13376998901367
20,sektor,9.695451736450195,52.43482971191406
21,mål,27.906204223632812,43.920928955078125
22,komme,23.684783935546875,48.63313293457031
23,indsats,25.13128662109375,47.16829299926758
24,antal,30.26539421081543,43.892765045166016
25,stige,28.19409942626953,47.20225143432617
26,uddannelse,29.108470916748047,43.20890426635742
27,samfund,23.855268478393555,48.80601501464844
28,falde,29.912757873535156,45.34234619140625
29,mulighed,30.20905113220215,42.54484558105469
30,økonomi,15.766668319702148,52.722251892089844
31,god,26.344192504882812,45.47157287597656
32,land,24.839845657348633,47.591026306152344
33,bidrage,23.219467163085938,49.126808166503906
34,følge,26.404747009277344,46.36957931518555
35,område,28.793930053710938,43.54997253417969
36,både,24.640880584716797,47.744991302490234
37,fiskeri,30.50800132751465,42.707611083984375
38,gennemføre,27.05341148376465,45.23884582519531
39,finanslov,22.490224838256836,48.81692123413086
40,nødvendig,25.169546127319336,47.27224349975586
41,grønlandsk,29.974624633789062,43.06377410888672
42,skab,22.814882278442383,49.873199462890625
43,cirka,18.662309646606445,48.36835861206055
44,ske,25.844318389892578,46.79702377319336
45,ung,23.114604949951172,49.93319320678711
46,investering,24.068815231323242,48.177486419677734
47,barn,29.017730712890625,43.049259185791016
48,periode,20.381555557250977,49.04885482788086
49,samarbejde,25.901140213012695,46.1450309753418
50,bolig,21.89902687072754,49.999324798583984
51,række,28.84633445739746,43.541473388671875
52,indtægt,15.289826393127441,51.12173843383789
53,selskab,28.336097717285156,44.52108383178711
54,udgift,20.60173225402832,49.803646087646484
55,figur,28.48933219909668,45.67268371582031
56,pct,29.872316360473633,45.533172607421875
57,borger,23.591047286987305,48.782081604003906
58,kilde,30.017234802246094,44.130271911621094
59,samtidig,23.845016479492188,48.426490783691406
60,arbejdsmarked,24.483558654785156,48.02705383300781
61,fremme,20.899337768554688,49.904483795166016
62,forslag,22.091392517089844,50.20995330810547
63,gæld,28.20088768005371,47.171142578125
64,muligt,27.173341751098633,45.04148483276367
65,vækste,15.09191608428955,53.280723571777344
66,ramme,14.764758110046387,53.529361724853516
67,beskæftigelse,18.72051429748535,51.90057373046875
68,nuværende,26.996665954589844,45.582576751708984
69,initiativ,19.999216079711914,51.5114860534668
70,social,25.52918815612793,46.93170166015625
71,andel,27.097623825073242,46.23725128173828
72,udfordring,15.887057304382324,53.139373779296875
73,fortsat,22.066654205322266,49.62490463256836
74,statistik,12.158413887023926,52.167877197265625
75,ønske,16.56098175048828,52.8369140625
76,landskasse,19.469074249267578,50.076507568359375
77,skat,26.61021614074707,46.941341400146484
78,tal,16.722309112548828,50.458740234375
79,indgå,20.149778366088867,51.339927673339844
80,fokus,19.107675552368164,51.854278564453125
81,igangsætte,23.900833129882812,48.74834060668945
82,dag,27.85451316833496,44.83363342285156
83,stigning,20.021995544433594,49.324337005615234
84,politisk,26.73377799987793,45.638763427734375
85,middel,18.400287628173828,51.74538803100586
86,generel,23.73633575439453,48.05541229248047
